gene,connectivity_raw,connectivity_variance_normalized
TMEM139,0.09180239925349674,0.14936669559340182
EIF3D,0.1507373708474401,0.1493388881221829
STK38,0.09789522802602832,0.14932462921015346
COX6C,0.18764474499719958,0.1492837930995943
RPL13AP7,0.08442328601852718,0.14919456659248295
ANXA11,0.1371805333588741,0.14906354496707566
RALBP1,0.1649585251780613,0.14896585513855995
APMAP,0.10172492251519359,0.14890796827617084
BCAT1,0.12883674791481606,0.14873387682727107
EPS8L2,0.10245825859821224,0.14873238868712568
EIF2AK1,0.15387415209244418,0.1487165391242561
SLC2A1,0.1181478194340324,0.1485619932858819
EIF4G2,0.1530901732532286,0.14848657238299065
FTH1,0.1963154532162208,0.14847602467429347
HNRNPDL,0.15229454677093604,0.1484511324959819
DYNLL1,0.1723289147961472,0.14841513004961832
DECR2,0.09053137010554729,0.14839070466335008
GNAQ,0.0951258172942699,0.1483526096294965
BLVRB,0.14596013563737667,0.1483520237535218
RP3-417G15.1,0.13540880966559304,0.14824436766042912
EIF3G,0.1200900303515182,0.14815802164097208
SYF2,0.13046420195895259,0.14807366261184013
SPCS1,0.11916080137485553,0.14807287543343492
NACA,0.19836271133332087,0.1480038706821033
TRIM16L,0.132313103435965,0.14800086189985762
LAMP2,0.11071810879973146,0.14793571410415773
TIA1,0.10207387859686794,0.14792711701545483
RP11-395B7.7,0.11021613264310773,0.14792507612364864
TCEAL4,0.13250767788580695,0.14784149903573607
